0,-2,3,2,,0,1,-4.37114e-08,,0,1,0,,
1,0,-2,3,,0,0,1,,0,1,0,,
2,2,-2,3,,0,0,1,,0,1,0,,
3,-2,3,-1.31134e-07,,0,1,-4.37114e-08,,0,1,0,,
4,-5.24537e-07,0,3,,-1.74846e-07,0,1,,0,1,0,,
5,2,0,3,,-1.74846e-07,0,1,,0,1,0,,
6,-2,3,-2,,0,1,-4.37114e-08,,0,1,0,,
7,0,2,3,,0,0,1,,0,1,0,,
8,2,2,3,,0,0,1,,0,1,0,,
9,-2,-3,2,,0,-1,4.37114e-08,,0,0,1,,
10,0,-2,-3,,0,0,-1,,0,0,1,,
11,2,-2,-3,,0,0,-1,,0,0,1,,
12,-2,-3,1.31134e-07,,0,-1,4.37114e-08,,0,0,1,,
13,5.24537e-07,0,-3,,1.74846e-07,0,-1,,0,0,1,,
14,2,0,-3,,1.74846e-07,0,-1,,0,0,1,,
15,-2,-3,-2,,0,-1,4.37114e-08,,0,0,1,,
16,0,2,-3,,0,0,-1,,0,0,1,,
17,2,2,-3,,0,0,-1,,0,0,1,,
18,-2,-2,-3,,0,-4.37114e-08,-1,,1,1,1,,
19,-2,-1.31134e-07,-3,,1.74846e-07,-4.37114e-08,-1,,1,1,1,,
20,-2,2,-3,,0,-4.37114e-08,-1,,1,1,1,,
21,0,3,-2,,0,1,0,,1,1,1,,
22,0,3,0,,0,1,0,,1,1,1,,
23,0,3,2,,0,1,0,,1,1,1,,
24,2,3,-2,,0,1,0,,1,1,1,,
25,2,3,0,,0,1,0,,1,1,1,,
26,2,3,2,,0,1,0,,1,1,1,,
27,-2,-2,3,,0,4.37114e-08,1,,1,1,0,,
28,-2,1.31134e-07,3,,-1.74846e-07,4.37114e-08,1,,1,1,0,,
29,-2,2,3,,0,4.37114e-08,1,,1,1,0,,
30,0,-3,-2,,0,-1,0,,1,1,0,,
31,0,-3,0,,0,-1,0,,1,1,0,,
32,0,-3,2,,0,-1,0,,1,1,0,,
33,2,-3,-2,,0,-1,0,,1,1,0,,
34,2,-3,0,,0,-1,0,,1,1,0,,
35,2,-3,2,,0,-1,0,,1,1,0,,
36,3,-2,-2,,1,0,0,,1,0,0,,
37,3,0,-2,,1,0,1.74846e-07,,1,0,0,,
38,3,2,-2,,1,0,0,,1,0,0,,
39,3,-2,0,,1,0,0,,1,0,0,,
40,3,0,5.24537e-07,,1,0,1.74846e-07,,1,0,0,,
41,3,2,0,,1,0,0,,1,0,0,,
42,3,-2,2,,1,0,0,,1,0,0,,
43,3,0,2,,1,0,1.74846e-07,,1,0,0,,
44,3,2,2,,1,0,0,,1,0,0,,
45,-3,-2,2,,-1,0,0,,1,0.65,0,,
46,-3,-2,8.74228e-08,,-1,0,0,,1,0.65,0,,
47,-3,-2,-2,,-1,0,0,,1,0.65,0,,
48,-3,8.74227e-08,2,,-1,0,-1.74846e-07,,1,0.65,0,,
49,-3,0,-5.24537e-07,,-1,0,-1.74846e-07,,1,0.65,0,,
50,-3,-8.74227e-08,-2,,-1,0,-1.74846e-07,,1,0.65,0,,
51,-3,2,2,,-1,0,0,,1,0.65,0,,
52,-3,2,-8.74228e-08,,-1,0,0,,1,0.65,0,,
53,-3,2,-2,,-1,0,0,,1,0.65,0,,
